coverageDirectEffect,coverageMediatorEffect,coverageMainEffect,coverageIndirectEffect,coverageMediatedProportion,aboveIndirectEffect,belowIndirectEffect,biasDirectEffect,biasMediatorEffect,biasMainEffect,biasIndirectEffect,biasMediatedProportion,mseDirectEffect,msesMediatorEffect,mseMainEffect,mseIndirectEffect,mseMediatedProportion,indirectType1Error,indirectType2Error,nonEstimableFraction,ps,mrs,psAdjustment,mrsAdjustment,mediatorType,sampleSize,sampling,bootstrapType,dropUninformativeStrata,n,nX,hCensor,aIntercept,confoundingAySd,confoundingmYSd,confoundingAymSd,mIntercept,mA,yIntercept,yA,yM
0.946,0.951,0.946,0.996,0.998,0,0.004,0.09701254754023353,-0.053393454327856804,0.056291030618431714,-0.04072151692180171,0.22828077345653033,0.1665930192456756,0.13435224270638296,0.1346607757667825,0.02014610113718634,8.985825205276663,NA,0.972,0,fit,fit,matching,model,time-to-event,1000,person,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.951,0.946,0.999,0.992,0,0.001,0.09701254754023353,-0.053393454327856804,0.056291030618431714,-0.04072151692180171,0.22828077345653033,0.1665930192456756,0.13435224270638296,0.1346607757667825,0.02014610113718634,8.985825205276663,NA,0.992,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.951,0.946,0.998,0.953,0.002,0,0.09701254754023353,-0.053393454327856804,0.056291030618431714,-0.04072151692180171,0.22828077345653033,0.1665930192456756,0.13435224270638296,0.1346607757667825,0.02014610113718634,8.985825205276663,NA,0.997,0,fit,fit,matching,model,time-to-event,1000,person,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.951,0.946,0.999,0.99,0.001,0,0.09701254754023353,-0.053393454327856804,0.056291030618431714,-0.04072151692180171,0.22828077345653033,0.1665930192456756,0.13435224270638296,0.1346607757667825,0.02014610113718634,8.985825205276663,NA,1,0,fit,fit,matching,model,time-to-event,1000,person,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.953,0.942,0.951,0.935,0.889,0.012,0.053,0.014781634848966715,-0.11208690898806511,0.003923376494102872,-0.010858258354863733,0.12512833407601143,0.021355233284212512,0.031460105994125596,0.01890650785822894,0.0026138884382205206,0.0403436046292226,NA,0.049,0,fit,fit,matching,model,time-to-event,1000,strata,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.953,0.942,0.951,0.962,0.909,0.013,0.025,0.014781634848966715,-0.11208690898806511,0.003923376494102872,-0.010858258354863733,0.12512833407601143,0.021355233284212512,0.031460105994125596,0.01890650785822894,0.0026138884382205206,0.0403436046292226,NA,0.059,0,fit,fit,matching,model,time-to-event,1000,strata,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.953,0.942,0.951,0.973,0.925,0.016,0.011,0.014781634848966715,-0.11208690898806511,0.003923376494102872,-0.010858258354863733,0.12512833407601143,0.021355233284212512,0.031460105994125596,0.01890650785822894,0.0026138884382205206,0.0403436046292226,NA,0.088,0,fit,fit,matching,model,time-to-event,1000,strata,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.953,0.942,0.951,0.939,0.976,0.061,0,0.014781634848966715,-0.11208690898806511,0.003923376494102872,-0.010858258354863733,0.12512833407601143,0.021355233284212512,0.031460105994125596,0.01890650785822894,0.0026138884382205206,0.0403436046292226,NA,0.818,0,fit,fit,matching,model,time-to-event,1000,strata,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.953,0.943,0.951,0.986,0.979,0.003,0.011,0.01480176773366715,-0.11208433127655364,0.003925954205614358,-0.010875813528052683,0.125179973680802,0.021365197687513555,0.031466569103846084,0.018913575494052915,0.002614326195155637,0.040361594922839264,NA,0.169,0,fit,fit,matching,model,time-to-event,1000,person,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.953,0.943,0.951,0.991,0.982,0.003,0.006,0.01480176773366715,-0.11208433127655364,0.003925954205614358,-0.010875813528052683,0.125179973680802,0.021365197687513555,0.031466569103846084,0.018913575494052915,0.002614326195155637,0.040361594922839264,NA,0.186,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.953,0.943,0.951,0.993,0.981,0.003,0.004,0.01480176773366715,-0.11208433127655364,0.003925954205614358,-0.010875813528052683,0.125179973680802,0.021365197687513555,0.031466569103846084,0.018913575494052915,0.002614326195155637,0.040361594922839264,NA,0.203,0,fit,fit,matching,model,time-to-event,1000,person,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.953,0.943,0.951,0.96,0.985,0.04,0,0.01480176773366715,-0.11208433127655364,0.003925954205614358,-0.010875813528052683,0.125179973680802,0.021365197687513555,0.031466569103846084,0.018913575494052915,0.002614326195155637,0.040361594922839264,NA,0.971,0,fit,fit,matching,model,time-to-event,1000,person,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.9543429844097996,0.963302752293578,0.9521158129175946,0.9220489977728286,0.9476614699331849,0.07126948775055679,0.0066815144766146995,0.6164729420639309,0.5391710345670269,0.6007447400879722,-0.015728201975958554,9161986.899613021,18.76164726748546,13.139217722065348,13.20842170439656,3.463279696341927,75308919420341340,NA,0.9365256124721604,0.102,fit,fit,matching,model,time-to-event,1000,strata,percentile,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.9543429844097996,0.963302752293578,0.9521158129175946,0.9164810690423163,0.9220489977728286,0.0801781737193764,0.0033407572383073497,0.6164729420639309,0.5391710345670269,0.6007447400879722,-0.015728201975958554,9161986.899613021,18.76164726748546,13.139217722065348,13.20842170439656,3.463279696341927,75308919420341340,NA,0.9387527839643652,0.102,fit,fit,matching,model,time-to-event,1000,strata,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.9543429844097996,0.963302752293578,0.9521158129175946,0.9020044543429844,0.8585746102449888,0.0957683741648107,0.0022271714922048997,0.6164729420639309,0.5391710345670269,0.6007447400879722,-0.015728201975958554,9161986.899613021,18.76164726748546,13.139217722065348,13.20842170439656,3.463279696341927,75308919420341340,NA,0.9521158129175946,0.102,fit,fit,matching,model,time-to-event,1000,strata,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
